start,end,kiro1,kiro2,kiro3,line
新青森,盛岡,178.4,178.4,178.4,東北幹
盛岡,新花巻,35.3,35.3,35.3,東北幹
新花巻,北上,12.5,12.5,12.5,東北幹
一ノ関,古川,50.1,50.1,50.1,東北幹
古川,仙台,43.2,43.2,43.2,東北幹
仙台,福島,79,79,79,東北幹
新青森,川部,27.2,27.2,27.2,奥羽
川部,大館,50.5,50.5,50.5,奥羽
大館,東能代,47.5,47.5,47.5,奥羽
東能代,秋田,56.7,56.7,56.7,奥羽
川部,東能代,147.2,147.2,161.9,五能
大館,好摩,106.9,106.9,117.6,花輪
好摩,盛岡,21.3,21.3,21.3,いわ銀
秋田,大曲,51.7,51.7,51.7,奥羽
大曲,横手,18.7,18.7,18.7,奥羽
横手,新庄,79.7,79.7,79.7,奥羽
新庄,羽前千歳,56.7,56.7,56.7,奥羽
羽前千歳,米沢,51.8,51.8,51.8,奥羽
米沢,福島,40.1,40.1,40.1,奥羽
盛岡,大曲,75.6,75.6,83.2,田沢湖
北上,横手,61.1,61.1,67.2,北上線
盛岡,花巻,35.3,35.3,35.3,東北
花巻,北上,12.5,12.5,12.5,東北
花巻,新花巻,6.4,6.4,7,釜石
北上,一ノ関,42.4,42.4,42.4,東北
一ノ関,小牛田,50.1,50.1,50.1,東北
小牛田,松島,19.8,19.8,19.8,東北
松島,仙台,23.4,23.4,23.4,東北
仙台,岩沼,17.6,17.6,17.6,東北
岩沼,福島,61.4,61.4,61.4,東北
松島,高城町,0.3,0.3,0.3,東北4
一ノ関,前谷地,134.8,134.8,148.3,大船渡気仙沼
前谷地,石巻,15.1,15.1,16.6,石巻線
前谷地,小牛田,12.8,12.8,14.1,石巻線
石巻,高城町,23.5,23.5,23.5,仙石
仙台,高城町,25,25,25,仙石
小牛田,古川,9.4,9.4,10.3,陸羽東
古川,新庄,84.7,84.7,93.2,陸羽東
新庄,余目,43,43,47.3,陸羽西
仙台,羽前千歳,58,58,58,仙山
米沢,坂町,90.7,90.7,99.8,米坂
秋田,余目,117,117,117,羽越
余目,坂町,106.7,106.7,106.7,羽越
坂町,新発田,22,22,22,羽越
福島,郡山,46.1,46.1,46.1,東北
郡山,安積永盛,4.9,4.9,4.9,東北
安積永盛,小山,141.2,141.2,141.2,東北
小山,大宮,50.3,50.3,50.3,東北
岩沼,いわき,134.3,134.3,134.3,常磐
いわき,水戸,94.1,94.1,94.1,常磐
水戸,友部,16.5,16.5,16.5,常磐
友部,我孫子,67.5,67.5,67.5,常磐
安積永盛,水戸,137.5,137.5,151.3,水郡
友部,小山,50.2,50.2,50.2,水戸線
小山,新前橋,84.4,84.4,84.4,両毛
大宮,熊谷,34.4,34.4,34.4,高崎線
熊谷,倉賀野,35.9,35.9,35.9,高崎線
倉賀野,高崎,4.4,4.4,4.4,高崎線
熊谷,高崎,40.3,40.3,40.3,上越幹
高崎,新前橋,7.3,7.3,7.3,上越
新前橋,越後湯沢,86.9,86.9,86.9,上越
高崎,越後湯沢,94.2,94.2,94.2,上越幹
越後湯沢,小出,38,38,38,上越
小出,越後川口,10.6,10.6,10.6,上越
越後川口,宮内,19.8,19.8,19.8,上越
柏崎,宮内,33.7,33.7,33.7,信越
宮内,長岡,3,3,3,信越
長岡,東三条,23.2,23.2,23.2,信越
東三条,新津,24.9,24.9,24.9,信越
新津,新潟,15.2,15.2,15.2,信越
長岡,燕三条,23.2,23.2,23.2,上越幹
燕三条,新潟,40.1,40.1,40.1,上越幹
新潟,吉田,34,34,37.4,越後
吉田,柏崎,49.8,49.8,54.8,越後
吉田,燕三条,8,8,8.8,弥彦
燕三条,東三条,4.5,4.5,4.9,弥彦
新潟,新発田,27.3,27.3,27.3,白新
新発田,新津,26,26,26,羽越
新津,会津若松,111,111,111,磐越西
会津若松,郡山,64.6,64.6,64.6,磐越西
会津若松,小出,135.2,135.2,148.7,只見
郡山,いわき,85.6,85.6,94.2,磐越東
越後川口,飯山,77.5,77.5,85.3,飯山線
高崎,佐久平,59.4,59.4,59.4,北陸幹
佐久平,長野,58,58,58,北陸幹
長野,飯山,29.9,29.9,29.9,北陸幹
飯山,糸魚川,66.6,66.6,66.6,北陸幹
松本,糸魚川,105.4,105.4,115.9,大糸
松本,長野,62.7,62.7,62.7,篠ノ井信越
松本,塩尻,13.3,13.3,13.3,篠ノ井
塩尻,岡谷,11.7,11.7,11.7,中央東
塩尻,辰野,18.2,18.2,18.2,中央２
辰野,岡谷,9.5,9.5,9.5,中央２
岡谷,小淵沢,36.7,36.7,36.7,中央東
小淵沢,甲府,39.6,39.6,39.6,中央東
甲府,八王子,86.7,86.7,86.7,中央東
八王子,立川,9.9,9.9,9.9,中央東
小淵沢,佐久平,71.5,71.5,78.7,小海
立川,拝島,6.9,6.9,6.9,青梅
八王子,拝島,9.9,9.9,10.9,八高
拝島,高麗川,21.2,21.2,23.3,八高
高麗川,倉賀野,60.9,60.9,67,八高
高麗川,大宮,30.6,30.6,30.6,川越
八王子,橋本,8.8,8.8,8.8,横浜線
橋本,新横浜,27.7,27.7,27.7,横浜線
新横浜,東神奈川,6.1,6.1,6.1,横浜線
橋本,茅ヶ崎,33.3,33.3,33.3,相模
新横浜,小田原,55.1,55.1,55.1,東海幹
東神奈川,横浜,1.8,1.8,1.8,東海道
横浜,大船,17.7,17.7,17.7,東海道
横浜,岸大船,22.1,22.1,22.1,根岸
岸大船,大船,0,0,0,根岸
大船,茅ヶ崎,12.1,12.1,12.1,東海道
茅ヶ崎,国府津,19.1,19.1,19.1,東海道
国府津,小田原,6.2,6.2,6.2,東海道
小田原,三島,36.8,36.8,36.8,東海道
三島,沼津,5.5,5.5,5.5,東海道
国府津,沼津,60.2,60.2,60.2,御殿場
我孫子,成田,32.9,32.9,32.9,成田２
佐倉,成田,13.1,13.1,13.1,成田線
成田,松岸,62.3,62.3,62.3,成田線
千葉,佐倉,16.1,16.1,16.1,総武
佐倉,成東,21.6,21.6,21.6,総武
成東,松岸,40.4,40.4,40.4,総武
千葉,蘇我,3.8,3.8,3.8,外房
